event_num,section,class_name,action,frame,time_sec,time_mmss
36,2,toblerone_milk_chocolate,return,2536,84.53,02:04.5
37,2,kitkat_king_size,return,2616,87.2,02:07.2
38,2,arm_hammer_baking_soda,return,2706,90.2,02:10.2
39,2,martinellis_apple_juice,return,2770,92.33,02:12.3
40,3,hersheys_bar,purchase,2856,95.2,02:15.2
41,3,arm_hammer_baking_soda,purchase,2886,96.2,02:16.2
42,3,snickers,purchase,2894,96.47,02:16.5
43,3,twix,purchase,2936,97.87,02:17.9
44,3,toblerone_milk_chocolate,purchase,2994,99.8,02:19.8
45,3,martinellis_apple_juice,purchase,3044,101.47,02:21.5
46,3,bumblebee_albacore,purchase,,,
47,3,dove_white,purchase,,,
48,3,dove_pink,purchase,,,
49,3,crayola_24_crayons,purchase,3242,108.07,02:28.1
50,3,kitkat_king_size,purchase,3294,109.8,02:29.8
51,3,mom_to_mom_butternut_squash_pear,purchase,3336,111.2,02:31.2
52,3,band_aid_clear_strips,purchase,3462,115.4,02:35.4
53,3,nabisco_nilla_wafers,purchase,,,
54,3,mom_to_mom_sweet_potato_corn_apple,purchase,3472,115.73,02:35.7
55,3,hunts_sauce,purchase,,,
56,3,jif_creamy_peanut_butter,purchase,3642,121.4,02:41.4
57,3,coffee_mate_french_vanilla,purchase,3682,122.73,02:42.7
58,3,pepperidge_farm_milk_chocolate_macadamia_cookies,purchase,3728,124.27,02:44.3
59,3,pop_tararts_strawberry,purchase,3894,129.8,02:49.8
60,4,haribo_gold_bears_gummi_candy,return,3968,132.27,02:52.3
61,4,lindt_excellence_cocoa_dark_chocolate,return,4076,135.87,02:55.9
62,4,hersheys_symphony,return,4096,136.53,02:56.5
63,4,nature_vally_fruit_and_nut,return,4200,140.0,03:00.0
64,4,chewy_dips_chocolate_chip,return,4274,142.47,03:02.5
65,4,quaker_big_chewy_chocolate_chip,return,4358,145.27,03:05.3
66,4,chewy_dips_peanut_butter,return,4424,147.47,03:07.5
67,4,nature_valley_crunchy_oats_n_honey,return,4514,150.47,03:10.5
68,4,clif_z_bar_chocolate_chip,return,4610,153.67,03:13.7
69,4,act_ii_butter_lovers_popcorn,return,4686,156.2,03:16.2
70,4,reeses_pieces,return,4744,158.13,03:18.1
71,4,lindt_excellence_cocoa_dark_chocolate,purchase,4742,158.07,03:18.1
72,4,act_ii_butter_lovers_popcorn,purchase,4866,162.2,03:22.2
73,4,reeses_pieces,purchase,4924,164.13,03:24.1
74,4,chewy_dips_peanut_butter,purchase,4850,161.67,03:21.7
75,4,haribo_gold_bears_gummi_candy,purchase,,,
76,4,hersheys_symphony,purchase,4958,165.27,03:25.3
77,4,nature_valley_crunchy_oats_n_honey,purchase,5044,168.13,03:28.1
78,4,clif_z_bar_chocolate_chip,purchase,5084,169.47,03:29.5
79,4,quaker_big_chewy_chocolate_chip,purchase,5132,171.07,03:31.1
80,4,chewy_dips_chocolate_chip,purchase,5188,172.93,03:32.9
81,4,nature_vally_fruit_and_nut,purchase,5250,175.0,03:35.0
82,5,david_sunflower_seeds,return,5374,179.13,03:39.1
83,5,mahatma_rice,return,5454,181.8,03:41.8
84,5,cheeze_it,return,5506,183.53,03:43.5
85,5,clif_crunch_peanut_butter,return,5634,187.8,03:47.8
86,5,honey_bunches_of_oats_honey_roasted,return,5762,192.07,03:52.1
87,5,cheerios,return,5832,194.4,03:54.4
88,5,cheerios,purchase,6012,200.4,04:00.4
89,5,honey_bunches_of_oats_honey_roasted,purchase,5976,199.2,03:59.2
90,5,clif_crunch_peanut_butter,purchase,6052,201.73,04:01.7
91,5,cheeze_it,purchase,6126,204.2,04:04.2
92,5,david_sunflower_seeds,purchase,6188,206.27,04:06.3
93,5,mahatma_rice,purchase,6290,209.67,04:09.7
94,6,cinnamon_toast_crunch,return,6382,212.73,04:12.7
95,6,nabisco_nilla_wafers,return,6486,216.2,04:16.2
96,6,honey_bunches_of_oats_with_almonds,return,6534,217.8,04:17.8
97,6,ritz_crackers,return,6650,221.67,04:21.7
98,6,nature_vally_fruit_and_nut,return,6696,223.2,04:23.2
99,6,chewy_dips_chocolate_chip,return,6730,224.33,04:24.3
100,6,ritz_crackers,purchase,6830,227.67,04:27.7
101,6,nature_vally_fruit_and_nut,purchase,6876,229.2,04:29.2
102,6,chewy_dips_chocolate_chip,purchase,6910,230.33,04:30.3
103,6,cinnamon_toast_crunch,purchase,6930,231.0,04:31.0
104,6,honey_bunches_of_oats_with_almonds,purchase,6986,232.87,04:32.9
105,6,nabisco_nilla_wafers,purchase,7044,234.8,04:34.8
